execution_id,case_id,condition,agent,round,output_mentions,output_facts,empty,peer_weaken_targets,peer_strengthen_targets,peer_equivalent_targets,self_weaken_targets,self_strengthen_targets,peer_related_targets,peer_weaken_without_peer_equivalence_targets,conservative_target_facts
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,1,59,50,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,2,60,54,0,10,19,8,9,9,31,8,6
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,3,54,48,0,19,25,20,16,13,42,8,7
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,1,42,35,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,2,48,42,0,17,14,13,4,7,29,10,9
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,3,40,35,0,10,14,17,7,13,27,5,6
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,1,47,36,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,2,56,52,0,9,18,20,11,6,30,2,2
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,3,40,40,0,9,14,15,6,7,27,3,4
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,1,44,43,0,0,0,0,0,0,0,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,2,30,29,0,5,6,9,4,7,17,2,1
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,3,37,35,0,15,12,12,14,7,25,8,9
