execution_id,case_id,condition,fact,first_round,starters,source_equivalent,source_related,opportunities,exact_fanout,weak_fanout,strong_fanout,equivalence_fanout,typed_fanout,exact_dead,equivalence_dead,typed_dead
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,f_0059540bc8eea355,1,C,0,0,2,0,0,1,0,1,1,1,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,f_00d1371f20ded835,2,B,0,0,2,1,0,0,2,2,0,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,f_021e00b93b77647b,2,A,0,0,2,0,0,0,0,0,1,1,1
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,f_0281e7cebc1e1cdc,2,A,0,0,2,0,0,1,0,1,1,1,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,f_03055e7e905c3633,1,C,0,0,2,0,1,1,1,2,1,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,f_04321ad6043cb578,1,ABC,0,0,0,0,0,0,0,0,1,1,1
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,f_04691f1adcd74f80,2,B,0,0,2,0,1,0,1,1,1,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,f_046f4feef9c2e3f6,2,C,0,0,2,0,0,1,0,1,1,1,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,f_05979f87fe406701,2,B,0,0,2,0,1,0,0,1,1,1,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,f_05d3bafdaa475ba6,1,A,0,0,2,0,0,0,2,2,1,0,0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,f_077d97935f48fc07,3,A,0,0,0,0,0,0,0,0,1,1,1
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,f_0802a35a01ebd31b,1,A,0,0,2,0,1,1,0,1,1,1,0
